network_type,T,S,f_c
single_scale,0.0,-1.0,0.52
single_scale,0.0,-0.75,0.91
single_scale,0.0,-0.5,1.0
single_scale,0.0,-0.25,1.0
single_scale,0.0,0.0,1.0
single_scale,0.0,0.25,1.0
single_scale,0.0,0.5,1.0
single_scale,0.0,0.75,1.0
single_scale,0.0,1.0,1.0
single_scale,0.25,-1.0,0.11
single_scale,0.25,-0.75,0.6295192307692307
single_scale,0.25,-0.5,0.99
single_scale,0.25,-0.25,1.0
single_scale,0.25,0.0,1.0
single_scale,0.25,0.25,1.0
single_scale,0.25,0.5,1.0
single_scale,0.25,0.75,1.0
single_scale,0.25,1.0,1.0
single_scale,0.5,-1.0,0.0
single_scale,0.5,-0.75,0.02
single_scale,0.5,-0.5,0.63
single_scale,0.5,-0.25,0.99
single_scale,0.5,0.0,1.0
single_scale,0.5,0.25,1.0
single_scale,0.5,0.5,1.0
single_scale,0.5,0.75,1.0
single_scale,0.5,1.0,0.9990384615384613
single_scale,0.75,-1.0,0.0
single_scale,0.75,-0.75,0.0
single_scale,0.75,-0.5,0.0
single_scale,0.75,-0.25,0.87
single_scale,0.75,0.0,1.0
single_scale,0.75,0.25,0.9990384615384613
single_scale,0.75,0.5,1.0
single_scale,0.75,0.75,1.0
single_scale,0.75,1.0,1.0
single_scale,1.0,-1.0,0.0
single_scale,1.0,-0.75,0.0
single_scale,1.0,-0.5,0.0
single_scale,1.0,-0.25,0.02
single_scale,1.0,0.0,1.0
single_scale,1.0,0.25,1.0
single_scale,1.0,0.5,1.0
single_scale,1.0,0.75,1.0
single_scale,1.0,1.0,0.9913003846153842
single_scale,1.25,-1.0,0.0
single_scale,1.25,-0.75,0.0
single_scale,1.25,-0.5,0.0
single_scale,1.25,-0.25,0.0
single_scale,1.25,0.0,0.16369
single_scale,1.25,0.25,0.9872954807692308
single_scale,1.25,0.5,0.9955610576923077
single_scale,1.25,0.75,1.0
single_scale,1.25,1.0,1.0
single_scale,1.5,-1.0,0.0
single_scale,1.5,-0.75,0.0
single_scale,1.5,-0.5,0.0
single_scale,1.5,-0.25,0.0
single_scale,1.5,0.0,0.0
single_scale,1.5,0.25,0.37828548076923063
single_scale,1.5,0.5,0.5757566346153846
single_scale,1.5,0.75,0.6817473076923081
single_scale,1.5,1.0,0.7939006730769229
single_scale,1.75,-1.0,0.0
single_scale,1.75,-0.75,0.0
single_scale,1.75,-0.5,0.0
single_scale,1.75,-0.25,0.0
single_scale,1.75,0.0,0.0
single_scale,1.75,0.25,0.22098500000000001
single_scale,1.75,0.5,0.39557923076923096
single_scale,1.75,0.75,0.5064629807692306
single_scale,1.75,1.0,0.5983620192307691
single_scale,2.0,-1.0,0.0
single_scale,2.0,-0.75,0.0
single_scale,2.0,-0.5,0.0
single_scale,2.0,-0.25,0.0
single_scale,2.0,0.0,0.0023076923076923166
single_scale,2.0,0.25,0.14571807692307692
single_scale,2.0,0.5,0.2947213461538462
single_scale,2.0,0.75,0.4080669230769232
single_scale,2.0,1.0,0.49425596153846163
scale_free_ba,0.0,-1.0,0.5
scale_free_ba,0.0,-0.75,0.87
scale_free_ba,0.0,-0.5,1.0
scale_free_ba,0.0,-0.25,1.0
scale_free_ba,0.0,0.0,1.0
scale_free_ba,0.0,0.25,1.0
scale_free_ba,0.0,0.5,1.0
