network_type,T,S,f_c
scale_free_random,0.0,-1.0,0.59
scale_free_random,0.0,-0.75,0.89
scale_free_random,0.0,-0.5,1.0
scale_free_random,0.0,-0.25,1.0
scale_free_random,0.0,0.0,1.0
scale_free_random,0.0,0.25,1.0
scale_free_random,0.0,0.5,1.0
scale_free_random,0.0,0.75,1.0
scale_free_random,0.0,1.0,1.0
scale_free_random,0.25,-1.0,0.16
scale_free_random,0.25,-0.75,0.52
scale_free_random,0.25,-0.5,0.95
scale_free_random,0.25,-0.25,1.0
scale_free_random,0.25,0.0,1.0
scale_free_random,0.25,0.25,1.0
scale_free_random,0.25,0.5,1.0
scale_free_random,0.25,0.75,1.0
scale_free_random,0.25,1.0,1.0
scale_free_random,0.5,-1.0,0.02
scale_free_random,0.5,-0.75,0.1
scale_free_random,0.5,-0.5,0.58
scale_free_random,0.5,-0.25,0.9936020192307693
scale_free_random,0.5,0.0,1.0
scale_free_random,0.5,0.25,1.0
scale_free_random,0.5,0.5,1.0
scale_free_random,0.5,0.75,1.0
scale_free_random,0.5,1.0,1.0
scale_free_random,0.75,-1.0,0.0
scale_free_random,0.75,-0.75,0.01
scale_free_random,0.75,-0.5,0.19
scale_free_random,0.75,-0.25,0.8643618269230771
scale_free_random,0.75,0.0,1.0
scale_free_random,0.75,0.25,1.0
scale_free_random,0.75,0.5,0.9976847115384615
scale_free_random,0.75,0.75,1.0
scale_free_random,0.75,1.0,1.0
scale_free_random,1.0,-1.0,0.0
scale_free_random,1.0,-0.75,0.01
scale_free_random,1.0,-0.5,0.0
scale_free_random,1.0,-0.25,0.2876101923076923
scale_free_random,1.0,0.0,0.9714855769230769
scale_free_random,1.0,0.25,0.9694170192307692
scale_free_random,1.0,0.5,0.9741068269230769
scale_free_random,1.0,0.75,0.9835773076923076
scale_free_random,1.0,1.0,1.0
scale_free_random,1.25,-1.0,0.0
scale_free_random,1.25,-0.75,0.0
scale_free_random,1.25,-0.5,0.0
scale_free_random,1.25,-0.25,0.01
scale_free_random,1.25,0.0,0.9137510576923078
scale_free_random,1.25,0.25,0.9771880769230767
scale_free_random,1.25,0.5,0.9556892307692308
scale_free_random,1.25,0.75,0.9768292307692309
scale_free_random,1.25,1.0,0.968751826923077
scale_free_random,1.5,-1.0,0.0
scale_free_random,1.5,-0.75,0.0
scale_free_random,1.5,-0.5,0.0
scale_free_random,1.5,-0.25,0.0
scale_free_random,1.5,0.0,0.38413480769230773
scale_free_random,1.5,0.25,0.9211922115384615
scale_free_random,1.5,0.5,0.9477789423076922
scale_free_random,1.5,0.75,0.9845677884615387
scale_free_random,1.5,1.0,0.9574565384615384
scale_free_random,1.75,-1.0,0.0
scale_free_random,1.75,-0.75,0.0
scale_free_random,1.75,-0.5,0.0
scale_free_random,1.75,-0.25,0.0
scale_free_random,1.75,0.0,0.01
scale_free_random,1.75,0.25,0.8718086538461537
scale_free_random,1.75,0.5,0.9463897115384615
scale_free_random,1.75,0.75,0.9783775
scale_free_random,1.75,1.0,0.936491153846154
scale_free_random,2.0,-1.0,0.0
scale_free_random,2.0,-0.75,0.0
scale_free_random,2.0,-0.5,0.0
scale_free_random,2.0,-0.25,0.0
scale_free_random,2.0,0.0,0.0
scale_free_random,2.0,0.25,0.4025176923076922
scale_free_random,2.0,0.5,0.663935096153846
scale_free_random,2.0,0.75,0.8627672115384616
scale_free_random,2.0,1.0,0.9344486538461542
