"network_type","b","update_rule","cooperation_rate"
scale_free,1.0,Bd,0.05206666666666667
grid,1.0,Bd,0.00740484429065744
complete,1.0,Bd,0.0007000000000000001
scale_free,1.25,Bd,0.049699999999999994
grid,1.25,Bd,0.011591695501730104
complete,1.25,Bd,0.0006666666666666666
scale_free,1.5,Bd,0.041933333333333336
grid,1.5,Bd,0.009653979238754324
complete,1.5,Bd,3.3333333333333335e-5
scale_free,1.75,Bd,0.0521
grid,1.75,Bd,0.010657439446366785
complete,1.75,Bd,0.0019333333333333333
scale_free,2.0,Bd,0.0403
grid,2.0,Bd,0.012214532871972317
complete,2.0,Bd,0.0022
scale_free,2.25,Bd,0.0484
grid,2.25,Bd,0.010726643598615915
complete,2.25,Bd,0.0009333333333333333
scale_free,2.5,Bd,0.0493
grid,2.5,Bd,0.01543252595155709
complete,2.5,Bd,0.00036666666666666667
scale_free,2.75,Bd,0.045899999999999996
grid,2.75,Bd,0.019377162629757784
complete,2.75,Bd,0.0014000000000000002
scale_free,3.0,Bd,0.043266666666666655
grid,3.0,Bd,0.01186851211072664
complete,3.0,Bd,0.00036666666666666667
scale_free,3.25,Bd,0.037599999999999995
grid,3.25,Bd,0.014948096885813146
complete,3.25,Bd,0.0015666666666666667
scale_free,3.5,Bd,0.03796666666666667
grid,3.5,Bd,0.015155709342560553
complete,3.5,Bd,0.0012666666666666668
scale_free,3.75,Bd,0.041466666666666666
grid,3.75,Bd,0.017854671280276815
complete,3.75,Bd,0.0007333333333333333
scale_free,4.0,Bd,0.039466666666666664
grid,4.0,Bd,0.013910034602076125
complete,4.0,Bd,0.0003333333333333333
scale_free,4.25,Bd,0.03593333333333334
grid,4.25,Bd,0.019930795847750864
complete,4.25,Bd,0.0015666666666666665
scale_free,4.5,Bd,0.0403
grid,4.5,Bd,0.015570934256055362
complete,4.5,Bd,0.0015000000000000002
scale_free,4.75,Bd,0.04019999999999999
grid,4.75,Bd,0.019515570934256057
complete,4.75,Bd,0.0031666666666666666
scale_free,5.0,Bd,0.038599999999999995
grid,5.0,Bd,0.016262975778546712
complete,5.0,Bd,0.0019333333333333336
scale_free,5.25,Bd,0.0399
grid,5.25,Bd,0.02380622837370243
complete,5.25,Bd,0.002033333333333333
scale_free,5.5,Bd,0.03373333333333334
grid,5.5,Bd,0.024083044982698962
complete,5.5,Bd,0.0008666666666666667
scale_free,5.75,Bd,0.03786666666666666
grid,5.75,Bd,0.02598615916955017
complete,5.75,Bd,0.0013333333333333333
scale_free,6.0,Bd,0.03903333333333334
grid,6.0,Bd,0.022249134948096883
complete,6.0,Bd,0.0023
scale_free,1.0,Db,0.0005333333333333334
grid,1.0,Db,0.03501730103806228
complete,1.0,Db,0.0015999999999999999
scale_free,1.25,Db,0.0006000000000000001
grid,1.25,Db,0.04543252595155709
complete,1.25,Db,0.0011333333333333334
scale_free,1.5,Db,0.004066666666666666
grid,1.5,Db,0.07515570934256056
complete,1.5,Db,0.0005666666666666667
scale_free,1.75,Db,0.024833333333333332
grid,1.75,Db,0.07660899653979239
complete,1.75,Db,0.00036666666666666667
scale_free,2.0,Db,0.02453333333333333
grid,2.0,Db,0.14332179930795846
complete,2.0,Db,0.0006
scale_free,2.25,Db,0.0475
grid,2.25,Db,0.14889273356401383
complete,2.25,Db,0.00016666666666666666
scale_free,2.5,Db,0.08476666666666668
grid,2.5,Db,0.19730103806228372
complete,2.5,Db,0.0006
scale_free,2.75,Db,0.16196666666666665
grid,2.75,Db,0.2381314878892734
complete,2.75,Db,0.0005
scale_free,3.0,Db,0.23456666666666667
grid,3.0,Db,0.26256055363321795
complete,3.0,Db,0.00036666666666666667
scale_free,3.25,Db,0.3705333333333333
grid,3.25,Db,0.2759515570934256
complete,3.25,Db,0.0012666666666666666
scale_free,3.5,Db,0.4557999999999999
grid,3.5,Db,0.3400346020761246
complete,3.5,Db,0.0009666666666666667
scale_free,3.75,Db,0.43723333333333336
grid,3.75,Db,0.4105882352941177
complete,3.75,Db,0.0013
scale_free,4.0,Db,0.5217
grid,4.0,Db,0.42944636678200687
complete,4.0,Db,0.0009333333333333333
scale_free,4.25,Db,0.5864
grid,4.25,Db,0.4575086505190311
complete,4.25,Db,0.0005333333333333333
scale_free,4.5,Db,0.6807
grid,4.5,Db,0.48148788927335645
complete,4.5,Db,0.0008666666666666667
scale_free,4.75,Db,0.7333000000000002
grid,4.75,Db,0.5689273356401384
complete,4.75,Db,0.0006333333333333333
scale_free,5.0,Db,0.7195999999999999
grid,5.0,Db,0.5809688581314879
complete,5.0,Db,0.0009
scale_free,5.25,Db,0.7754666666666666
grid,5.25,Db,0.6296539792387543
complete,5.25,Db,0.0011
scale_free,5.5,Db,0.8048000000000001
grid,5.5,Db,0.6543944636678201
complete,5.5,Db,0.0023666666666666667
scale_free,5.75,Db,0.7807666666666668
grid,5.75,Db,0.6784083044982698
complete,5.75,Db,0.0024333333333333334
scale_free,6.0,Db,0.8879333333333334
grid,6.0,Db,0.7137370242214532
complete,6.0,Db,0.0015333333333333332
scale_free,1.0,IM,0.0
grid,1.0,IM,0.0
complete,1.0,IM,0.0
scale_free,1.25,IM,0.0
grid,1.25,IM,0.0
complete,1.25,IM,0.0
scale_free,1.5,IM,0.0
grid,1.5,IM,0.0
complete,1.5,IM,0.0
scale_free,1.75,IM,0.0
grid,1.75,IM,0.0
complete,1.75,IM,0.0
scale_free,2.0,IM,0.0
grid,2.0,IM,0.0
complete,2.0,IM,0.0
scale_free,2.25,IM,0.0
grid,2.25,IM,0.0
complete,2.25,IM,0.0
scale_free,2.5,IM,0.00013333333333333334
grid,2.5,IM,0.0
complete,2.5,IM,0.0
scale_free,2.75,IM,0.004666666666666667
grid,2.75,IM,0.0
complete,2.75,IM,0.0
scale_free,3.0,IM,0.010066666666666668
grid,3.0,IM,0.0
complete,3.0,IM,0.0
scale_free,3.25,IM,0.034300000000000004
grid,3.25,IM,0.0
complete,3.25,IM,0.0
scale_free,3.5,IM,0.0602
grid,3.5,IM,6.920415224913495e-5
complete,3.5,IM,0.0
scale_free,3.75,IM,0.10256666666666665
grid,3.75,IM,0.0
complete,3.75,IM,0.0
scale_free,4.0,IM,0.15756666666666666
grid,4.0,IM,0.0015916955017301038
complete,4.0,IM,0.0
scale_free,4.25,IM,0.21286666666666665
grid,4.25,IM,0.00020761245674740482
complete,4.25,IM,0.0
scale_free,4.5,IM,0.3224666666666666
grid,4.5,IM,0.0008996539792387543
complete,4.5,IM,0.0
scale_free,4.75,IM,0.3049
grid,4.75,IM,0.0013148788927335642
complete,4.75,IM,0.0
scale_free,5.0,IM,0.3782666666666667
grid,5.0,IM,0.003529411764705882
complete,5.0,IM,0.0
scale_free,5.25,IM,0.3941333333333333
grid,5.25,IM,0.0018685121107266437
complete,5.25,IM,0.0
scale_free,5.5,IM,0.4002000000000001
grid,5.5,IM,0.0028373702422145324
complete,5.5,IM,0.0
scale_free,5.75,IM,0.4913
grid,5.75,IM,0.003391003460207612
complete,5.75,IM,0.0
scale_free,6.0,IM,0.5593333333333333
grid,6.0,IM,0.003391003460207612
complete,6.0,IM,0.0
