"network_type","b","update_rule","cooperation_rate"
scale_free,1.0,Bd,0.053500000000000006
grid,1.0,Bd,0.010795847750865051
complete,1.0,Bd,0.001
scale_free,1.25,Bd,0.051333333333333335
grid,1.25,Bd,0.009619377162629759
complete,1.25,Bd,0.0006333333333333333
scale_free,1.5,Bd,0.04576666666666667
grid,1.5,Bd,0.013633217993079585
complete,1.5,Bd,0.00036666666666666667
scale_free,1.75,Bd,0.041333333333333326
grid,1.75,Bd,0.015501730103806231
complete,1.75,Bd,0.0012666666666666666
scale_free,2.0,Bd,0.046000000000000006
grid,2.0,Bd,0.00889273356401384
complete,2.0,Bd,0.0022
scale_free,2.25,Bd,0.04893333333333334
grid,2.25,Bd,0.01411764705882353
complete,2.25,Bd,0.0012333333333333332
scale_free,2.5,Bd,0.0443
grid,2.5,Bd,0.013598615916955017
complete,2.5,Bd,0.0007000000000000001
scale_free,2.75,Bd,0.04003333333333333
grid,2.75,Bd,0.013840830449826988
complete,2.75,Bd,0.0005
scale_free,3.0,Bd,0.04066666666666667
grid,3.0,Bd,0.01519031141868512
complete,3.0,Bd,0.0007666666666666666
scale_free,3.25,Bd,0.03836666666666667
grid,3.25,Bd,0.01629757785467128
complete,3.25,Bd,0.00013333333333333334
scale_free,3.5,Bd,0.03936666666666667
grid,3.5,Bd,0.019619377162629757
complete,3.5,Bd,0.0011666666666666668
scale_free,3.75,Bd,0.04363333333333334
grid,3.75,Bd,0.020034602076124567
complete,3.75,Bd,0.0007000000000000001
scale_free,4.0,Bd,0.03696666666666667
grid,4.0,Bd,0.020173010380622837
complete,4.0,Bd,0.001
scale_free,4.25,Bd,0.03643333333333333
grid,4.25,Bd,0.021280276816608996
complete,4.25,Bd,0.0015666666666666667
scale_free,4.5,Bd,0.04450000000000001
grid,4.5,Bd,0.018719723183391004
complete,4.5,Bd,0.0025
scale_free,4.75,Bd,0.040133333333333326
grid,4.75,Bd,0.018131487889273355
complete,4.75,Bd,0.002033333333333333
scale_free,5.0,Bd,0.0364
grid,5.0,Bd,0.017197231833910035
complete,5.0,Bd,0.003966666666666667
scale_free,5.25,Bd,0.03353333333333333
grid,5.25,Bd,0.02332179930795848
complete,5.25,Bd,0.0027333333333333333
scale_free,5.5,Bd,0.03646666666666667
grid,5.5,Bd,0.01259515570934256
complete,5.5,Bd,0.0018333333333333333
scale_free,5.75,Bd,0.038533333333333336
grid,5.75,Bd,0.02318339100346021
complete,5.75,Bd,0.0017666666666666666
scale_free,6.0,Bd,0.030600000000000002
grid,6.0,Bd,0.029515570934256063
complete,6.0,Bd,0.0019333333333333333
scale_free,1.0,Db,0.0010333333333333334
grid,1.0,Db,0.031314878892733565
complete,1.0,Db,0.00013333333333333334
scale_free,1.25,Db,0.0017
grid,1.25,Db,0.05162629757785467
complete,1.25,Db,0.00013333333333333334
scale_free,1.5,Db,0.0027333333333333333
grid,1.5,Db,0.059723183391003465
complete,1.5,Db,0.0006333333333333334
scale_free,1.75,Db,0.013833333333333335
grid,1.75,Db,0.09584775086505191
complete,1.75,Db,0.00023333333333333333
scale_free,2.0,Db,0.019066666666666666
grid,2.0,Db,0.10847750865051907
complete,2.0,Db,0.0015
scale_free,2.25,Db,0.032200000000000006
grid,2.25,Db,0.1484429065743945
complete,2.25,Db,0.002466666666666667
scale_free,2.5,Db,0.08086666666666668
grid,2.5,Db,0.15564013840830448
complete,2.5,Db,0.0008
scale_free,2.75,Db,0.13306666666666667
grid,2.75,Db,0.22083044982698957
complete,2.75,Db,0.0005666666666666667
scale_free,3.0,Db,0.26206666666666667
grid,3.0,Db,0.260795847750865
complete,3.0,Db,0.0006999999999999999
scale_free,3.25,Db,0.30296666666666666
grid,3.25,Db,0.3313148788927336
complete,3.25,Db,0.0005
scale_free,3.5,Db,0.4099333333333333
grid,3.5,Db,0.34660899653979244
complete,3.5,Db,0.0016666666666666668
scale_free,3.75,Db,0.5123666666666667
grid,3.75,Db,0.38543252595155697
complete,3.75,Db,0.0021666666666666666
scale_free,4.0,Db,0.5367666666666667
grid,4.0,Db,0.4170934256055363
complete,4.0,Db,0.0017333333333333335
scale_free,4.25,Db,0.6072
grid,4.25,Db,0.4826643598615917
complete,4.25,Db,0.0004666666666666666
scale_free,4.5,Db,0.6327666666666666
grid,4.5,Db,0.5443944636678202
complete,4.5,Db,0.0011333333333333334
scale_free,4.75,Db,0.7323333333333334
grid,4.75,Db,0.5670242214532873
complete,4.75,Db,0.0008333333333333334
scale_free,5.0,Db,0.7709333333333332
grid,5.0,Db,0.5813148788927336
complete,5.0,Db,0.002533333333333333
scale_free,5.25,Db,0.8097666666666666
grid,5.25,Db,0.5885121107266434
complete,5.25,Db,0.0022666666666666664
scale_free,5.5,Db,0.8572666666666666
grid,5.5,Db,0.6500346020761246
complete,5.5,Db,0.0004
scale_free,5.75,Db,0.8490666666666666
grid,5.75,Db,0.6796539792387543
complete,5.75,Db,0.0021666666666666666
scale_free,6.0,Db,0.8682
grid,6.0,Db,0.6733910034602077
complete,6.0,Db,0.002533333333333333
scale_free,1.0,IM,0.0
grid,1.0,IM,0.0
complete,1.0,IM,0.0
scale_free,1.25,IM,0.0
grid,1.25,IM,0.0
complete,1.25,IM,0.0
scale_free,1.5,IM,0.0
grid,1.5,IM,0.0
complete,1.5,IM,0.0
scale_free,1.75,IM,0.0
grid,1.75,IM,0.0
complete,1.75,IM,0.0
scale_free,2.0,IM,0.0
grid,2.0,IM,0.0
complete,2.0,IM,0.0
scale_free,2.25,IM,0.0
grid,2.25,IM,0.0
complete,2.25,IM,0.0
scale_free,2.5,IM,0.0
grid,2.5,IM,0.0
complete,2.5,IM,0.0
scale_free,2.75,IM,3.3333333333333335e-5
grid,2.75,IM,0.0
complete,2.75,IM,0.0
scale_free,3.0,IM,0.005366666666666667
grid,3.0,IM,0.0
complete,3.0,IM,0.0
scale_free,3.25,IM,0.024766666666666666
grid,3.25,IM,0.00010380622837370241
complete,3.25,IM,0.0
scale_free,3.5,IM,0.0533
grid,3.5,IM,0.0
complete,3.5,IM,0.0
scale_free,3.75,IM,0.07313333333333333
grid,3.75,IM,3.460207612456748e-5
complete,3.75,IM,0.0
scale_free,4.0,IM,0.13946666666666668
grid,4.0,IM,0.0
complete,4.0,IM,0.0
scale_free,4.25,IM,0.1845
grid,4.25,IM,0.0002768166089965398
complete,4.25,IM,0.0
scale_free,4.5,IM,0.1962
grid,4.5,IM,0.0
complete,4.5,IM,0.0
scale_free,4.75,IM,0.2671
grid,4.75,IM,0.0
complete,4.75,IM,0.0
scale_free,5.0,IM,0.3249666666666667
grid,5.0,IM,0.0
complete,5.0,IM,0.0
scale_free,5.25,IM,0.38553333333333334
grid,5.25,IM,0.00010380622837370241
complete,5.25,IM,0.0
scale_free,5.5,IM,0.43296666666666667
grid,5.5,IM,0.0
complete,5.5,IM,0.0
scale_free,5.75,IM,0.41523333333333334
grid,5.75,IM,0.00010380622837370241
complete,5.75,IM,0.0
scale_free,6.0,IM,0.4907666666666667
grid,6.0,IM,0.0
complete,6.0,IM,0.0
